"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 04 00:26:23 GMT 2024","Sun Aug 04 00:26:27 GMT 2024","3946","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Sun Aug 04 00:26:33 GMT 2024","Sun Aug 04 00:26:34 GMT 2024","1080","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"unknown","Sun Aug 04 00:26:45 GMT 2024","Sun Aug 04 00:26:45 GMT 2024","0","CrossBrowser","FirefoxTest","FrameworkTest","FrameworkTest","testNegative","testNegative",""
"passed","Sun Aug 04 00:26:12 GMT 2024","Sun Aug 04 00:26:12 GMT 2024","10","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testTest","testTest",""
"passed","Sun Aug 04 00:26:29 GMT 2024","Sun Aug 04 00:26:31 GMT 2024","1421","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Sun Aug 04 00:26:54 GMT 2024","Sun Aug 04 00:26:56 GMT 2024","1839","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and the title of the application are correct and as expected."
"passed","Sun Aug 04 00:26:34 GMT 2024","Sun Aug 04 00:26:35 GMT 2024","1100","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"unknown","Sun Aug 04 00:26:12 GMT 2024","Sun Aug 04 00:26:12 GMT 2024","1","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testNegative","testNegative",""
"passed","Sun Aug 04 00:26:41 GMT 2024","Sun Aug 04 00:26:42 GMT 2024","1224","CrossBrowser","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Sun Aug 04 00:27:01 GMT 2024","Sun Aug 04 00:27:02 GMT 2024","1387","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Sun Aug 04 00:26:31 GMT 2024","Sun Aug 04 00:26:32 GMT 2024","1384","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Sun Aug 04 00:26:35 GMT 2024","Sun Aug 04 00:26:40 GMT 2024","4246","CrossBrowser","ChromiumTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Sun Aug 04 00:26:23 GMT 2024","Sun Aug 04 00:26:26 GMT 2024","3133","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and the title of the application are correct and as expected."
"passed","Sun Aug 04 00:26:35 GMT 2024","Sun Aug 04 00:26:35 GMT 2024","0","CrossBrowser","ChromiumTest","FrameworkTest","FrameworkTest","testTest","testTest",""
"unknown","Sun Aug 04 00:26:35 GMT 2024","Sun Aug 04 00:26:35 GMT 2024","0","CrossBrowser","ChromiumTest","FrameworkTest","FrameworkTest","testNegative","testNegative",""
"passed","Sun Aug 04 00:26:35 GMT 2024","Sun Aug 04 00:26:37 GMT 2024","1543","CrossBrowser","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and the title of the application are correct and as expected."
"passed","Sun Aug 04 00:26:54 GMT 2024","Sun Aug 04 00:27:00 GMT 2024","6009","CrossBrowser","FirefoxTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Sun Aug 04 00:26:23 GMT 2024","Sun Aug 04 00:26:26 GMT 2024","3273","CrossBrowser","ChromeTest","com.lumatest.test.SearchBoxTest","com.lumatest.test.SearchBoxTest","presenceOfSearchBox","TC-SEARCH-001 Ensure that the search bar is present on the homepage","To verify that the search box is  displays."
"passed","Sun Aug 04 00:27:15 GMT 2024","Sun Aug 04 00:27:17 GMT 2024","1418","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Sun Aug 04 00:26:19 GMT 2024","Sun Aug 04 00:26:19 GMT 2024","12","CrossBrowser","ChromeTest","FrameworkTest","FrameworkTest","testTest","testTest",""
"unknown","Sun Aug 04 00:26:19 GMT 2024","Sun Aug 04 00:26:19 GMT 2024","1","CrossBrowser","ChromeTest","FrameworkTest","FrameworkTest","testNegative","testNegative",""
"passed","Sun Aug 04 00:26:40 GMT 2024","Sun Aug 04 00:26:41 GMT 2024","1289","CrossBrowser","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Sun Aug 04 00:26:35 GMT 2024","Sun Aug 04 00:26:38 GMT 2024","2416","CrossBrowser","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Sun Aug 04 00:26:38 GMT 2024","Sun Aug 04 00:26:39 GMT 2024","1360","CrossBrowser","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Sun Aug 04 00:26:27 GMT 2024","Sun Aug 04 00:26:29 GMT 2024","1570","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Sun Aug 04 00:26:55 GMT 2024","Sun Aug 04 00:26:58 GMT 2024","3205","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Sun Aug 04 00:26:35 GMT 2024","Sun Aug 04 00:26:37 GMT 2024","1510","CrossBrowser","ChromiumTest","com.lumatest.test.SearchBoxTest","com.lumatest.test.SearchBoxTest","presenceOfSearchBox","TC-SEARCH-001 Ensure that the search bar is present on the homepage","To verify that the search box is  displays."
"passed","Sun Aug 04 00:27:04 GMT 2024","Sun Aug 04 00:27:06 GMT 2024","1608","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Sun Aug 04 00:26:45 GMT 2024","Sun Aug 04 00:26:45 GMT 2024","0","CrossBrowser","FirefoxTest","FrameworkTest","FrameworkTest","testTest","testTest",""
