"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 13 02:16:31 GMT 2024","Thu Jun 13 02:16:32 GMT 2024","1140","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Thu Jun 13 02:16:28 GMT 2024","Thu Jun 13 02:16:29 GMT 2024","1239","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Thu Jun 13 02:16:33 GMT 2024","Thu Jun 13 02:16:34 GMT 2024","645","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and the title of the application are correct and as expected."
"unknown","Thu Jun 13 02:16:24 GMT 2024","Thu Jun 13 02:16:24 GMT 2024","1","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testNegative","testNegative",""
"passed","Thu Jun 13 02:16:29 GMT 2024","Thu Jun 13 02:16:30 GMT 2024","1148","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Thu Jun 13 02:16:26 GMT 2024","Thu Jun 13 02:16:28 GMT 2024","1279","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Thu Jun 13 02:16:25 GMT 2024","Thu Jun 13 02:16:26 GMT 2024","1189","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Thu Jun 13 02:16:37 GMT 2024","Thu Jun 13 02:16:37 GMT 2024","0","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testTest","testTest",""
"passed","Thu Jun 13 02:16:32 GMT 2024","Thu Jun 13 02:16:33 GMT 2024","1032","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Thu Jun 13 02:16:34 GMT 2024","Thu Jun 13 02:16:37 GMT 2024","2703","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","testProduct",""
