"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 15 16:40:48 GMT 2024","Sat Jun 15 16:40:49 GMT 2024","1489","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Sat Jun 15 16:40:40 GMT 2024","Sat Jun 15 16:40:42 GMT 2024","2076","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Sat Jun 15 16:40:55 GMT 2024","Sat Jun 15 16:40:55 GMT 2024","0","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testTest","testTest",""
"passed","Sat Jun 15 16:40:42 GMT 2024","Sat Jun 15 16:40:44 GMT 2024","1604","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Sat Jun 15 16:40:46 GMT 2024","Sat Jun 15 16:40:48 GMT 2024","1494","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"unknown","Sat Jun 15 16:40:37 GMT 2024","Sat Jun 15 16:40:37 GMT 2024","1","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testNegative","testNegative",""
"passed","Sat Jun 15 16:40:51 GMT 2024","Sat Jun 15 16:40:55 GMT 2024","3727","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","testProduct",""
"passed","Sat Jun 15 16:40:44 GMT 2024","Sat Jun 15 16:40:46 GMT 2024","1866","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Sat Jun 15 16:40:38 GMT 2024","Sat Jun 15 16:40:40 GMT 2024","1884","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","TestNavigationMenu","TC-02 Top menu navigation","To verify that the top menu navigation on the website functions correctly by ensuring thatclicking on menu items direct the user to the expected URL with the expected title."
"passed","Sat Jun 15 16:40:50 GMT 2024","Sat Jun 15 16:40:51 GMT 2024","1058","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and the title of the application are correct and as expected."
